iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld wuh xsmd lai kdiff kdir wdir
2012 5 19 0 -999 -999 -999 -999 -999 6.19 61.1 6.65 100.57 0.2 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 5 20 0 -999 -999 -999 -999 -999 6.38 62.58 6.28 100.68 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 5 21 0 -999 -999 -999 -999 -999 6.32 63.66 5.92 100.78 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 5 22 0 -999 -999 -999 -999 -999 5.89 64.83 5.65 100.87 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 5 23 0 -999 -999 -999 -999 -999 5.22 65.65 5.57 100.98 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 6 0 0 -999 -999 -999 -999 -999 5.42 66.74 5.66 101.08 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 6 1 0 -999 -999 -999 -999 -999 5.01 67.33 5.52 101.18 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 6 2 0 -999 -999 -999 -999 -999 4.72 68.61 5.5 101.29 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 6 3 0 -999 -999 -999 -999 -999 4.86 70.57 5.48 101.37 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 6 4 0 -999 -999 -999 -999 -999 4.08 71.16 5.3 101.48 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 6 5 0 -999 -999 -999 -999 -999 4.15 71.72 5 101.58 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 6 6 0 -999 -999 -999 -999 -999 3.74 72.8 4.72 101.67 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 6 7 0 -999 -999 -999 -999 -999 2.87 73.48 4.49 101.76 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 6 8 0 -999 -999 -999 -999 -999 3.27 74.52 4.32 101.83 0 0.19 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 6 9 0 -999 -999 -999 -999 -999 3.52 75.23 4.29 101.9 0 31.47 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 6 10 0 -999 -999 -999 -999 -999 2.82 74.76 4.59 101.95 0 93.35 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 6 11 0 -999 -999 -999 -999 -999 3.31 72.66 4.9 102.02 0 164.05 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 6 12 0 -999 -999 -999 -999 -999 3.52 69.98 5.7 102.04 0 224.2 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 6 13 0 -999 -999 -999 -999 -999 3.56 65.92 6.07 101.99 0 222.1 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 6 14 0 -999 -999 -999 -999 -999 2.88 62.29 5.85 101.94 0 200.3 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 6 15 0 -999 -999 -999 -999 -999 3.85 60.46 6.15 101.91 0 88.56 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 6 16 0 -999 -999 -999 -999 -999 2.98 63.68 6.23 101.84 0 23.74 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 6 17 0 -999 -999 -999 -999 -999 3.2 65.3 6.16 101.79 0 0.59 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 6 18 0 -999 -999 -999 -999 -999 3.66 67.86 6.56 101.74 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 6 19 0 -999 -999 -999 -999 -999 3.68 72.65 7.35 101.69 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 6 20 0 -999 -999 -999 -999 -999 3.88 75.33 7.48 101.63 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 6 21 0 -999 -999 -999 -999 -999 3.73 77.91 7.62 101.58 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 6 22 0 -999 -999 -999 -999 -999 4.95 79.97 8.18 101.53 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 6 23 0 -999 -999 -999 -999 -999 3.65 81.34 8.52 101.46 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 7 0 0 -999 -999 -999 -999 -999 3.97 81.52 8.69 101.37 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 7 1 0 -999 -999 -999 -999 -999 4.6 82.04 8.89 101.31 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 7 2 0 -999 -999 -999 -999 -999 4.15 82.53 9.27 101.27 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 7 3 0 -999 -999 -999 -999 -999 5.15 80.61 9.67 101.22 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 7 4 0 -999 -999 -999 -999 -999 5.6 80.77 9.63 101.17 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 7 5 0 -999 -999 -999 -999 -999 5.6 80.91 9.59 101.18 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 7 6 0 -999 -999 -999 -999 -999 3.83 80.46 9.46 101.19 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 7 7 0 -999 -999 -999 -999 -999 3.81 77.51 9.49 101.26 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 7 8 0 -999 -999 -999 -999 -999 4.88 69.57 9.18 101.34 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 7 9 0 -999 -999 -999 -999 -999 4.55 63.21 8.13 101.44 0 22.1 -999 -999 -999 -999 -999 -999 -999 -999 -999
