motorcycles;taxis;cars;bus and coaches;lgv;TotRig;TotArt;dummy
2.282;0.945;1.5;1.567;1.762;1.783;1.886;0
1.8;0.956;1.375;1.617;1.776;1.977;1.99;0
1.524;1.031;1.291;1.573;1.809;2.057;2.053;0
1.249;1.107;1.206;1.53;1.843;2.137;2.115;0
1.217;1.143;1.194;1.466;1.842;2.168;2.114;0
1.185;1.179;1.182;1.401;1.842;2.198;2.113;0
1.214;1.17;1.215;1.389;1.831;2.204;2.116;0
1.244;1.162;1.248;1.377;1.82;2.209;2.119;0
1.296;1.195;1.264;1.4;1.827;2.166;2.079;0
1.347;1.228;1.281;1.423;1.834;2.123;2.038;0
1.359;1.348;1.295;1.465;1.867;2.072;1.958;0
1.371;1.467;1.31;1.506;1.9;2.021;1.879;0
1.443;1.387;1.375;1.526;1.93;1.946;1.762;0
1.515;1.306;1.44;1.546;1.96;1.872;1.646;0
1.746;1.397;1.514;1.572;1.973;1.741;1.535;0
1.977;1.488;1.588;1.598;1.986;1.61;1.423;0
2.339;1.513;1.679;1.537;1.791;1.483;1.298;0
2.701;1.538;1.77;1.477;1.597;1.357;1.172;0
2.657;1.492;1.738;1.452;1.385;1.28;1.094;0
2.613;1.446;1.705;1.428;1.173;1.203;1.017;0
2.207;1.473;1.627;1.405;1.029;0.846;0.776;0
1.801;1.5;1.549;1.383;0.885;0.489;0.536;0
1.489;1.517;1.38;1.254;0.759;0.485;0.522;0
1.176;1.534;1.211;1.125;0.634;0.481;0.509;0
1.012;1.465;1.106;1.019;0.546;0.403;0.448;0
0.848;1.397;1.001;0.914;0.458;0.326;0.388;0
0.741;1.366;0.937;0.848;0.403;0.354;0.4;0
0.633;1.334;0.873;0.781;0.347;0.383;0.412;0
0.551;1.351;0.786;0.782;0.315;0.429;0.445;0
0.47;1.369;0.698;0.784;0.283;0.476;0.477;0
0.358;1.271;0.557;0.702;0.245;0.465;0.466;0
0.247;1.174;0.415;0.619;0.207;0.453;0.454;0
0.186;1.047;0.325;0.451;0.179;0.41;0.417;0
0.126;0.92;0.235;0.283;0.152;0.367;0.38;0
0.097;0.675;0.201;0.245;0.144;0.394;0.393;0
0.069;0.43;0.166;0.206;0.135;0.422;0.407;0
0.068;0.364;0.154;0.197;0.155;0.37;0.382;0
0.066;0.299;0.141;0.187;0.174;0.319;0.356;0
0.09;0.288;0.156;0.213;0.224;0.431;0.445;0
0.114;0.278;0.171;0.239;0.273;0.542;0.533;0
0.207;0.358;0.236;0.383;0.356;0.73;0.692;0
0.301;0.437;0.301;0.527;0.438;0.917;0.852;0
0.73;0.589;0.563;0.752;0.974;1.246;1.21;0
1.159;0.741;0.825;0.978;1.509;1.575;1.568;0
1.677;0.815;1.125;1.226;1.834;1.555;1.706;0
2.195;0.888;1.424;1.475;2.158;1.535;1.843;0
2.456;0.903;1.511;1.483;1.938;1.549;1.798;0
2.718;0.918;1.598;1.492;1.718;1.563;1.753;0
2.25;0.932;1.479;1.546;1.738;1.76;1.861;0
1.781;0.946;1.361;1.6;1.757;1.956;1.969;0
1.51;1.022;1.279;1.559;1.793;2.039;2.034;0
1.239;1.098;1.197;1.519;1.828;2.121;2.099;0
1.216;1.143;1.194;1.465;1.842;2.167;2.114;0
1.193;1.188;1.19;1.412;1.856;2.214;2.129;0
1.22;1.176;1.221;1.396;1.84;2.214;2.126;0
1.247;1.164;1.251;1.38;1.824;2.214;2.124;0
1.29;1.19;1.259;1.394;1.82;2.158;2.071;0
1.334;1.216;1.268;1.408;1.816;2.102;2.017;0
1.346;1.334;1.282;1.45;1.848;2.052;1.939;0
1.358;1.453;1.297;1.492;1.881;2.001;1.861;0
1.431;1.375;1.364;1.514;1.914;1.93;1.748;0
1.505;1.297;1.43;1.535;1.946;1.859;1.634;0
1.741;1.392;1.509;1.567;1.966;1.734;1.529;0
1.977;1.488;1.587;1.598;1.986;1.61;1.423;0
2.335;1.511;1.677;1.535;1.789;1.482;1.296;0
2.693;1.534;1.766;1.473;1.593;1.353;1.169;0
2.659;1.493;1.739;1.453;1.386;1.281;1.095;0
2.625;1.452;1.713;1.434;1.178;1.208;1.021;0
2.207;1.472;1.626;1.404;1.029;0.847;0.777;0
1.789;1.491;1.54;1.374;0.879;0.486;0.532;0
1.479;1.508;1.372;1.246;0.754;0.482;0.519;0
1.168;1.524;1.203;1.117;0.63;0.478;0.505;0
1.005;1.457;1.099;1.013;0.542;0.401;0.445;0
0.843;1.389;0.995;0.908;0.455;0.324;0.385;0
0.736;1.358;0.931;0.842;0.4;0.352;0.397;0
0.628;1.326;0.868;0.776;0.345;0.38;0.409;0
0.547;1.343;0.781;0.777;0.313;0.427;0.442;0
