Electr;Gas
0.998849444;0.951660463
1.018901869;0.953483713
1.017651569;0.940531042
1.014462664;0.898558311
0.994846453;0.928945809
0.877958455;0.927616356
0.867425111;0.992417695
1.009850579;0.972437915
1.018611773;0.965904603
1.046348507;1.038036926
1.01534526;0.99211382
1.016045877;1.036935379
0.907233977;0.965752666
0.868238127;0.969285212
1.014834649;0.962448025
1.025087532;1.070703486
1.072455463;1.119627358
1.108159644;1.21295496
1.098824682;1.216905335
0.980615734;1.08411197
0.944956513;1.060219799
1.093584772;1.142873794
1.118244999;1.145304793
1.106117203;1.119171545
1.099613077;1.111688624
1.100982733;1.15457298
0.966616236;1.116892483
0.945580593;1.071045346
1.068915446;1.132428091
1.092863816;1.162055902
1.09031237;1.077274783
1.098089275;1.123083936
1.101152401;1.14249395
0.995718879;1.133301732
0.978879446;1.129655232
1.104525426;1.1333777
1.125809417;1.236315349
1.149836465;1.218234788
1.110987804;1.111574671
1.107636723;1.133453669
0.985653863;1.080655392
0.963964702;1.092506516
1.089757871;1.135049013
1.105999452;1.120956811
1.115853587;1.117234342
1.11405093;1.175882213
1.102502253;1.083428251
0.98069923;1.078832142
0.966064413;1.119589373
1.116085342;1.139645122
1.119330447;1.126920357
1.129389041;1.211055742
1.137865492;1.21842471
1.131259137;1.242620755
1.031828764;1.258726129
1.024044902;1.231795209
1.14949927;1.26620905
1.166158331;1.299141501
1.157572157;1.213220851
1.138768426;1.186062025
1.125695948;1.18184576
1.024710194;1.176186088
1.015020374;1.200306164
1.175264213;1.339480905
1.198667718;1.398470635
1.212029221;1.495216831
1.204276937;1.497154034
1.148479655;1.41537368
1.049558822;1.299293439
1.002113817;1.231567303
0.9356633;1.121526576
0.918799781;1.184428697
1.017834083;1.237644802
1.011139951;1.16004273
1.002161453;1.18663179
0.943298368;1.084453829
0.926160811;1.15335748
0.921644354;1.189208887
1.112889394;1.280542479
1.160615743;1.183518893
1.154583634;1.165017233
1.13435482;1.146552282
1.042330837;1.143174995
1.00070551;1.11178825
1.151055378;1.163915943
1.147596582;1.113513603
1.152194636;1.16633878
1.173334638;1.185354375
1.142877656;1.093360009
1.020763681;1.103602
1.000406886;1.154334726
1.158411608;1.196991332
1.174440534;1.189686113
1.162273493;1.203231971
1.166121157;1.239023873
1.120557376;1.156280338
1.011058379;1.13241907
1.015023087;1.225551434
1.190566267;1.448746064
1.23472498;1.524661606
1.242169814;1.509610652
1.245010577;1.514236067
1.208168714;1.397132306
1.059775768;1.270006812
1.018860359;1.212372672
1.163260704;1.227276787
1.178892011;1.279514609
1.168408425;1.239390969
1.160407362;1.216484152
1.124428558;1.22698311
1.032819149;1.252863408
1.025892806;1.285424862
1.196826446;1.423856926
1.220761269;1.491916604
1.238824233;1.541658171
1.250537868;1.600210051
1.234399009;1.541511332
1.092806611;1.331128368
1.017289025;1.227937561
1.160369077;1.303486006
1.159278495;1.310570967
1.153569623;1.31442548
1.148459093;1.331385335
1.137837681;1.280248802
