ElUNr_Wi;ElE7_Wi;ElInd_Wi;ElUNr_Sp;ElE7_Sp;ElInd_Sp;ElUNr_Su;ElE7_Su;ElInd_Su;ElUNr_Hi;ElE7_Hi;ElInd_Hi;ElUNr_Au;ElE7_Au;ElInd_Au;dummy
1.396;0.815;0.632;1.481;0.815;0.632;1.235;0.815;0.632;1.357;0.815;0.632;1.489;0.815;0.777;0
1.320;0.777;0.589;1.410;0.777;0.589;1.314;0.777;0.589;1.385;0.777;0.589;1.371;0.777;0.703;0
1.224;0.748;0.545;1.340;0.748;0.545;1.340;0.748;0.545;1.330;0.748;0.545;1.300;0.748;0.634;0
1.128;0.701;0.512;1.246;0.701;0.512;1.287;0.701;0.512;1.276;0.701;0.512;1.229;0.701;0.567;0
0.994;0.625;0.498;1.105;0.625;0.498;1.130;0.625;0.498;1.140;0.625;0.498;1.087;0.625;0.543;0
0.749;0.72;0.544;0.808;0.72;0.544;0.840;0.72;0.544;0.882;0.72;0.544;0.764;0.72;0.622;0
0.731;1.023;0.54;0.741;1.023;0.54;0.791;1.023;0.54;0.832;1.023;0.54;0.787;1.023;0.599;0
0.606;2.008;0.532;0.673;2.008;0.532;0.692;2.008;0.532;0.731;2.008;0.532;0.674;2.008;0.581;0
0.535;2.33;0.521;0.606;2.33;0.521;0.618;2.33;0.521;0.630;2.33;0.521;0.539;2.33;0.569;0
0.482;2.358;0.514;0.539;2.358;0.514;0.544;2.358;0.514;0.580;2.358;0.514;0.494;2.358;0.56;0
0.446;2.292;0.513;0.494;2.292;0.513;0.519;2.292;0.513;0.529;2.292;0.513;0.472;2.292;0.557;0
0.410;2.216;0.511;0.471;2.216;0.511;0.494;2.216;0.511;0.504;2.216;0.511;0.449;2.216;0.555;0
0.392;2.046;0.51;0.449;2.046;0.51;0.470;2.046;0.51;0.504;2.046;0.51;0.427;2.046;0.555;0
0.375;1.818;0.52;0.426;1.818;0.52;0.470;1.818;0.52;0.504;1.818;0.52;0.427;1.818;0.555;0
0.375;1.676;0.53;0.426;1.676;0.53;0.470;1.676;0.53;0.504;1.676;0.53;0.427;1.676;0.575;0
0.375;1.572;0.543;0.426;1.572;0.543;0.470;1.572;0.543;0.479;1.572;0.543;0.404;1.572;0.604;0
0.375;1.459;0.578;0.449;1.459;0.578;0.470;1.459;0.578;0.504;1.459;0.578;0.427;1.459;0.655;0
0.392;1.392;0.603;0.449;1.392;0.603;0.470;1.392;0.603;0.504;1.392;0.603;0.449;1.392;0.703;0
0.428;1.392;0.679;0.471;1.392;0.679;0.494;1.392;0.679;0.529;1.392;0.679;0.449;1.392;0.767;0
0.482;1.364;0.765;0.539;1.364;0.765;0.568;1.364;0.765;0.605;1.364;0.765;0.494;1.364;0.832;0
0.553;1.279;0.803;0.651;1.279;0.843;0.692;1.279;0.843;0.706;1.279;0.843;0.607;1.279;0.888;0
0.678;0.928;0.899;0.763;0.928;0.955;0.766;0.928;0.955;0.782;0.928;0.955;0.719;0.928;0.978;0
0.785;0.71;0.983;0.942;0.71;1.045;0.915;0.71;1.045;0.882;0.71;1.045;0.831;0.71;1.055;0
0.945;0.578;1.123;1.010;0.578;1.145;1.013;0.578;1.145;1.008;0.578;1.145;0.989;0.578;1.145;0
1.035;0.521;1.245;1.122;0.521;1.298;1.137;0.521;1.298;1.109;0.521;1.298;1.101;0.521;1.234;0
1.106;0.483;1.332;1.234;0.483;1.378;1.211;0.483;1.378;1.185;0.483;1.378;1.213;0.483;1.307;0
1.213;0.455;1.399;1.234;0.455;1.467;1.285;0.455;1.467;1.261;0.455;1.467;1.236;0.455;1.345;0
1.249;0.445;1.445;1.324;0.445;1.474;1.335;0.445;1.474;1.311;0.445;1.474;1.236;0.445;1.407;0
1.302;0.436;1.458;1.369;0.436;1.489;1.384;0.436;1.489;1.336;0.436;1.489;1.258;0.436;1.443;0
1.320;0.455;1.467;1.481;0.455;1.456;1.434;0.455;1.456;1.412;0.455;1.456;1.326;0.455;1.463;0
1.373;0.483;1.465;1.504;0.483;1.439;1.508;0.483;1.439;1.462;0.483;1.439;1.416;0.483;1.468;0
1.373;0.474;1.456;1.459;0.474;1.423;1.508;0.474;1.423;1.437;0.474;1.423;1.438;0.474;1.375;0
1.320;0.455;1.432;1.369;0.455;1.404;1.409;0.455;1.404;1.387;0.455;1.404;1.371;0.455;1.276;0
1.213;0.436;1.388;1.234;0.436;1.355;1.261;0.436;1.355;1.261;0.436;1.355;1.281;0.436;1.267;0
1.124;0.436;1.312;1.100;0.436;1.312;1.137;0.436;1.312;1.134;0.436;1.312;1.056;0.436;1.278;0
1.124;0.455;1.302;1.055;0.455;1.302;1.112;0.455;1.302;1.034;0.455;1.302;1.056;0.455;1.265;0
1.142;0.474;1.304;1.032;0.474;1.276;1.137;0.474;1.276;1.034;0.474;1.276;1.034;0.474;1.234;0
1.159;0.521;1.305;1.032;0.521;1.284;1.112;0.521;1.284;1.059;0.521;1.284;1.079;0.521;1.194;0
1.284;0.625;1.287;1.100;0.625;1.269;1.137;0.625;1.269;1.059;0.625;1.269;1.079;0.625;1.195;0
